region,lat,lng,nodos,golden
Region9,18.93859,-99.23303,1,87
Region6,18.93974,-98.398019,1,12
Region9,18.9410981,-99.2151317,1,87
Region5,18.94238,-103.8990067,1,100
Region9,18.9447514,-99.19924,1,87
Region9,18.9466972,-99.2345417,1,87
Region9,18.9472031,-99.2248364,1,87
Region9,18.949711,-99.268382,1,62
Region5,18.952314,-99.497611,1,100
Region9,18.952622,-99.244017,2,87
Region9,18.9537111,-99.2511944,1,87
Region9,18.95579,-99.23655,1,87
Region5,18.956074,-104.135672,1,75
Region6,18.95735,-98.24053,1,12
Region9,18.959383,-99.263036,2,62
Region9,18.959528,-99.195667,2,18.5
Region9,18.959889,-99.271467,1,87
Region7,18.96105,-97.902963,1,100
Region8,18.963191,-98.969498,1,37
Region4,18.964556,-99.642083,2,12
Region9,18.965793,-99.239307,2,74.5
Region4,18.966122,-98.21887,2,18.5
Region7,18.9663789,-98.3459397,1,25
Region4,18.96732,-99.66156,2,12
Region9,18.967403,-99.248012,1,87
Region7,18.9702194,-99.2372361,1,25
Region9,18.9705328,-99.2042961,1,87
Region9,18.970892,-99.225144,1,87
Region9,18.972917,-99.260972,1,87
Region9,18.973706,-99.184994,1,87
Region7,18.9754,-98.156527,1,25
Region7,18.976134,-98.257979,2,100
Region7,18.9771931,-98.2190697,1,25
Region7,18.9780083,-96.2739167,1,100
Region9,18.978608,-99.238236,1,50
Region6,18.979392,-98.279516,1,75
Region9,18.9798333,-99.2509972,1,62
Region9,18.982295,-99.469519,2,50
Region7,18.9845964,-98.1959269,1,25
Region8,18.986024,-91.194862,1,100
Region9,18.986582,-98.219398,1,62
Region6,18.989833,-98.209481,1,62
Region8,18.993829,-98.245103,1,100
Region7,18.9952361,-98.2358028,1,25
Region7,18.99587,-98.221351,1,25
Region6,18.9967778,-98.1910556,1,62
Region7,19.0008897,-98.2056203,1,25
Region9,19.0012,-99.190933,3,28.6666666667
Region8,19.002346,-98.233966,1,75
Region7,19.0031108,-98.2305072,1,25
Region7,19.00488,-98.177763,1,25
Region7,19.0055333,-98.1986444,1,25
Region7,19.0058361,-98.2967833,1,25
Region9,19.007816,-98.332458,1,87
Region7,19.0093853,-98.2654661,1,25
Region7,19.0097778,-98.2302222,1,25
Region7,19.01021,-98.217623,1,25
Region9,19.011049,-99.653226,1,62
Region7,19.0145556,-98.2100539,1,25
Region7,19.0156872,-98.1976758,1,25
Region6,19.016096,-98.25264,1,62
Region9,19.017724,-98.215845,1,62
Region7,19.018947,-98.181847,1,25
Region7,19.019333,-98.203277,1,25
Region5,19.019557,-103.826682,1,100
Region7,19.0199108,-98.2540547,1,25
Region7,19.0205581,-98.228936,1,25
Region9,19.020562,-99.139687,1,100
Region5,19.0209056,-98.2394472,1,62
Region7,19.02135,-98.1918,1,25
Region9,19.022639,-98.244833,1,50
Region7,19.0226639,-98.1800694,1,25
Region7,19.0255833,-98.2132222,1,25
Region7,19.0274114,-98.2330586,1,25
Region7,19.0279381,-98.2011025,1,25
Region8,19.029085,-98.226388,1,0
Region7,19.029448,-97.009857,1,100
Region8,19.029469,-98.201729,1,100
Region9,19.031007,-98.233383,2,62
Region4,19.0315361,-98.2327583,1,25
Region6,19.03209,-98.1983944,2,56
Region9,19.032584,-98.26049,2,87
Region7,19.0331667,-98.2093611,1,25
Region7,19.03379,-98.22209,1,25
Region8,19.034051,-98.187925,1,100
Region7,19.03412,-98.19442,1,25
Region7,19.034696,-98.186951,1,25
Region6,19.034853,-98.2351,1,62
Region9,19.0352097,-98.177236,1,62
Region7,19.037012,-98.22715,1,25
Region8,19.0370444,-98.2662278,1,100
Region7,19.0373,-98.2035861,1,25
Region7,19.0374,-98.1443889,1,25
Region9,19.03784,-97.79221,2,49.5
Region7,19.0380444,-98.2481972,1,25
Region6,19.0398,-98.1976,1,12
Region9,19.04095,-98.24087,1,50
